dt,close,volume
2019-01-02,293.0,181410
2019-01-03,292.0,1665440
2019-01-04,309.0,1622480
2019-01-07,323.0,1004160
2019-01-08,321.0,623090
2019-01-09,319.0,1659810
2019-01-10,314.0,1064200
2019-01-11,316.6,428970
2019-01-14,324.0,940570
2019-01-15,315.0,595560
2019-01-16,307.0,593810
2019-01-17,313.0,440750
2019-01-18,324.8,944340
2019-01-21,325.2,401380
2019-01-22,325.0,566250
2019-01-23,317.0,422300
2019-01-24,315.8,304390
2019-01-25,323.6,383120
2019-01-28,317.0,596470
2019-01-29,322.0,716830
2019-01-30,314.0,991120
2019-01-31,316.0,1041850
2019-02-01,320.0,705360
2019-02-04,315.0,347870
2019-02-06,322.0,1051450
2019-02-07,323.0,538370
2019-02-08,316.2,397410
2019-02-11,314.8,434150
2019-02-12,312.0,475100
2019-02-13,316.0,820960
2019-02-14,321.2,838930
2019-02-15,316.6,615040
2019-02-18,312.0,287990
2019-02-19,310.0,1073930
2019-02-20,310.4,972260
2019-02-21,307.2,980260
2019-02-22,313.2,454250
2019-02-26,315.0,924040
2019-02-27,308.0,1303210
2019-02-28,307.8,653140
2019-03-01,309.0,1837490
2019-03-04,309.0,357810
2019-03-05,309.0,682530
2019-03-06,316.0,621600
2019-03-07,320.0,678110
2019-03-08,317.6,566000
2019-03-11,311.0,453970
2019-03-12,317.0,139630
2019-03-13,316.4,364290
2019-03-14,312.0,257020
2019-03-15,316.2,740420
2019-03-18,315.2,893290
2019-03-19,313.6,365990
2019-03-20,313.6,285920
2019-03-21,312.4,472780
2019-03-22,312.4,809450
2019-03-25,316.0,2737700
2019-03-26,316.6,730920
2019-03-27,316.0,334490
2019-03-28,316.0,272100
2019-03-29,317.0,628390
2019-04-01,315.0,436040
2019-04-02,317.0,689090
2019-04-03,318.8,389250
2019-04-04,318.8,526570
2019-04-05,320.0,1390800
2019-04-08,318.8,493570
2019-04-10,322.0,790720
2019-04-11,320.8,147470
2019-04-12,310.0,1671610
2019-04-15,310.0,1037610
2019-04-16,306.0,781860
2019-04-17,304.0,700640
2019-04-22,303.0,1300150
2019-04-23,302.2,963380
2019-04-24,300.4,1141800
2019-04-25,303.0,906290
2019-04-26,303.0,494290
2019-04-29,304.0,284530
2019-04-30,304.6,677750
2019-05-02,300.6,979350
2019-05-03,301.0,1643160
2019-05-06,302.0,628950
2019-05-07,304.0,726470
2019-05-08,303.0,947300
2019-05-09,302.0,745640
2019-05-10,302.8,431890
2019-05-14,302.6,6205170
2019-05-15,293.0,1913390
2019-05-16,285.0,1852050
2019-05-17,277.0,2318150
2019-05-20,274.2,1336880
2019-05-21,282.6,1088980
2019-05-22,287.4,533510
2019-05-23,284.0,1693510
2019-05-24,278.0,1112480
2019-05-27,274.0,812360
2019-05-28,270.0,2630790
2019-05-29,273.0,699980
2019-05-30,282.0,933720
2019-05-31,288.0,1111730
2019-06-03,287.0,910270
2019-06-04,277.0,685690
2019-06-06,275.0,1161490
2019-06-07,275.2,542820
